x,y,psi
0.000000,0.000000,0.000000
0.291089,-0.072577,-14.000000
0.555973,-0.213418,-28.000000
0.778916,-0.414157,-42.000000
1.001860,-0.614896,-42.000000
1.266744,-0.755738,-28.000000
1.557833,-0.828314,-14.000000
1.837907,-0.935825,-21.000000
2.135671,-0.972386,-7.000000
2.433435,-0.935825,7.000000
2.713509,-0.828314,21.000000
2.959254,-0.656242,35.000000
3.156072,-0.429829,49.000000
3.352890,-0.203416,49.000000
3.598635,-0.031343,35.000000
3.878710,0.076168,21.000000
4.176473,0.112728,7.000000
4.474237,0.076168,-7.000000
4.754311,-0.031343,-21.000000
5.045400,-0.103919,-14.000000
5.325474,-0.211430,-21.000000
5.605548,-0.318940,-21.000000
5.903312,-0.355501,-7.000000
6.203312,-0.355501,0.000000
6.494401,-0.282924,14.000000
6.794401,-0.282924,0.000000
7.092165,-0.246364,7.000000
7.389929,-0.209803,7.000000
7.689929,-0.209803,0.000000
7.987692,-0.173242,7.000000
8.278781,-0.100665,14.000000
8.569870,-0.028089,14.000000
8.869870,-0.028089,0.000000
9.167634,-0.064650,-7.000000
9.447708,-0.172160,-21.000000
9.693454,-0.344233,-35.000000
9.890271,-0.570646,-49.000000
10.026468,-0.837948,-63.000000
10.223286,-1.064361,-49.000000
10.359483,-1.331663,-63.000000
10.426969,-1.623974,-77.000000
10.421733,-1.923928,-91.000000
10.489218,-2.216239,-77.000000
10.625415,-2.483541,-63.000000
10.728021,-2.765449,-70.000000
10.759380,-3.063805,-84.000000
10.861986,-3.345713,-70.000000
10.893344,-3.644070,-84.000000
10.851593,-3.941150,-98.000000
10.739211,-4.219305,-112.000000
10.562875,-4.462010,-126.000000
10.450493,-4.740165,-112.000000
10.338111,-5.018321,-112.000000
10.296359,-5.315401,-98.000000
10.254607,-5.612481,-98.000000
10.285966,-5.910838,-84.000000
10.280730,-6.210792,-91.000000
10.348215,-6.503103,-77.000000
10.348215,-6.503103,-77.000000
10.450821,-6.785011,-70.000000
10.482180,-7.083368,-84.000000
10.440428,-7.380448,-98.000000
10.471786,-7.678805,-84.000000
10.503145,-7.977161,-84.000000
10.461393,-8.274242,-98.000000
10.456157,-8.574196,-91.000000
10.487516,-8.872553,-84.000000
10.518874,-9.170909,-84.000000
10.477123,-9.467990,-98.000000
10.471887,-9.767944,-91.000000
10.466651,-10.067898,-91.000000
10.534136,-10.360209,-77.000000
10.636742,-10.642117,-70.000000
10.668101,-10.940474,-84.000000
10.626349,-11.237554,-98.000000
10.657708,-11.535911,-84.000000
10.760314,-11.817818,-70.000000
10.862920,-12.099726,-70.000000
10.965526,-12.381634,-70.000000
11.033011,-12.673945,-77.000000
11.027775,-12.973899,-91.000000
10.986023,-13.270980,-98.000000
10.873641,-13.549135,-112.000000
10.761259,-13.827290,-112.000000
10.719507,-14.124370,-98.000000
10.750866,-14.422727,-84.000000
10.853472,-14.704635,-70.000000
11.021230,-14.953346,-56.000000
11.218048,-15.179759,-49.000000
11.354245,-15.447061,-63.000000
11.421730,-15.739372,-77.000000
11.489215,-16.031683,-77.000000
11.556701,-16.323994,-77.000000
11.692898,-16.591296,-63.000000
11.795504,-16.873204,-70.000000
11.826862,-17.171560,-84.000000
11.785111,-17.468641,-98.000000
11.743359,-17.765721,-98.000000
11.738123,-18.065675,-91.000000
11.805608,-18.357986,-77.000000
11.836967,-18.656343,-84.000000
11.868325,-18.954700,-84.000000
11.899684,-19.253056,-84.000000
11.931042,-19.551413,-84.000000
11.889290,-19.848493,-98.000000
11.811645,-20.138271,-105.000000
11.666202,-20.400657,-119.000000
11.461602,-20.620063,-133.000000
11.210001,-20.783455,-147.000000
10.926346,-20.881125,-161.000000
10.627487,-20.907272,-175.000000
10.331181,-20.860341,-189.000000
10.055029,-20.743122,-203.000000
9.758723,-20.696192,-189.000000
9.459864,-20.722338,-175.000000
9.160047,-20.711869,-182.000000
8.860230,-20.701399,-182.000000
8.566786,-20.763772,-168.000000
8.297147,-20.895284,-154.000000
8.297147,-20.895284,-154.000000
8.003703,-20.957657,-168.000000
7.703886,-20.947187,-182.000000
7.415507,-20.864496,-196.000000
7.127129,-20.781805,-196.000000
6.850977,-20.664586,-203.000000
6.554671,-20.617655,-189.000000
6.255812,-20.643802,-175.000000
5.972157,-20.741472,-161.000000
5.673298,-20.767619,-175.000000
5.373481,-20.757149,-182.000000
5.080037,-20.819523,-168.000000
4.810399,-20.951034,-154.000000
4.580585,-21.143870,-140.000000
4.328984,-21.307262,-147.000000
4.045329,-21.404932,-161.000000
3.751884,-21.467306,-168.000000
3.452067,-21.456836,-182.000000
3.163689,-21.374145,-196.000000
2.903881,-21.224145,-210.000000
2.664290,-21.043600,-217.000000
2.388139,-20.926381,-203.000000
2.091832,-20.879451,-189.000000
1.792974,-20.905597,-175.000000
1.496667,-20.858667,-189.000000
1.197809,-20.884814,-175.000000
0.914153,-20.982484,-161.000000
0.615295,-21.008631,-175.000000
0.318989,-20.961701,-189.000000
0.020130,-20.987847,-175.000000
-0.263525,-21.085518,-161.000000
-0.515127,-21.248910,-147.000000
-0.784765,-21.380421,-154.000000
-1.078209,-21.442794,-168.000000
-1.371653,-21.505168,-168.000000
-1.671471,-21.494698,-182.000000
-1.959849,-21.412007,-196.000000
-2.219657,-21.262007,-210.000000
-2.495808,-21.144788,-203.000000
-2.771960,-21.027568,-203.000000
-3.060338,-20.944877,-196.000000
-3.356645,-20.897947,-189.000000
-3.655503,-20.924093,-175.000000
-3.955320,-20.913624,-182.000000
-4.251627,-20.866693,-189.000000
-4.547933,-20.819763,-189.000000
-4.846792,-20.845910,-175.000000
-5.146609,-20.835440,-182.000000
-5.446426,-20.824970,-182.000000
-5.746244,-20.814500,-182.000000
-6.046061,-20.804030,-182.000000
-6.344919,-20.830177,-175.000000
-6.628575,-20.927847,-161.000000
-6.922019,-20.990221,-168.000000
-7.221836,-20.979751,-182.000000
-7.521654,-20.969281,-182.000000
-7.820512,-20.995428,-175.000000
-8.116818,-20.948498,-189.000000
-8.415677,-20.974644,-175.000000
-8.715494,-20.964174,-182.000000
-9.003873,-20.881483,-196.000000
-9.003873,-20.881483,-196.000000
-9.303690,-20.871013,-182.000000
-9.597134,-20.933387,-168.000000
-9.880790,-21.031057,-161.000000
-10.179648,-21.057204,-175.000000
-10.478507,-21.083351,-175.000000
-10.774813,-21.036420,-189.000000
-11.073671,-21.062567,-175.000000
-11.369978,-21.015637,-189.000000
-11.668836,-21.041784,-175.000000
-11.967695,-21.067930,-175.000000
-12.267512,-21.057460,-182.000000
-12.555891,-20.974769,-196.000000
-12.844269,-20.892078,-196.000000
-13.132648,-20.809387,-196.000000
-13.421026,-20.726696,-196.000000
-13.709405,-20.644004,-196.000000
-14.009222,-20.633535,-182.000000
-14.302666,-20.695908,-168.000000
-14.572304,-20.827419,-154.000000
-14.841942,-20.958931,-154.000000
-15.135387,-21.021304,-168.000000
-15.435204,-21.010834,-182.000000
-15.723583,-20.928143,-196.000000
-15.983390,-20.778143,-210.000000
-16.199192,-20.569746,-224.000000
-16.358168,-20.315331,-238.000000
-16.573970,-20.106934,-224.000000
-16.762766,-19.873790,-231.000000
-16.889551,-19.601898,-245.000000
-16.982257,-19.316581,-252.000000
-17.141232,-19.062166,-238.000000
-17.233937,-18.776849,-252.000000
-17.254864,-18.477580,-266.000000
-17.202770,-18.182138,-280.000000
-17.080749,-17.908074,-294.000000
-16.993037,-17.621183,-287.000000
-16.940943,-17.325740,-280.000000
-16.961870,-17.026471,-266.000000
-17.054575,-16.741154,-252.000000
-17.075502,-16.441885,-266.000000
-17.132745,-16.147397,-259.000000
-17.259530,-15.875504,-245.000000
-17.386316,-15.603612,-245.000000
-17.443558,-15.309124,-259.000000
-17.536263,-15.023807,-252.000000
-17.663049,-14.751915,-245.000000
-17.720292,-14.457427,-259.000000
-17.741218,-14.158157,-266.000000
-17.689124,-13.862715,-280.000000
-17.567103,-13.588651,-294.000000
-17.382405,-13.352248,-308.000000
-17.260384,-13.078184,-294.000000
-17.105872,-12.821034,-301.000000
-17.018161,-12.534143,-287.000000
-17.002460,-12.234554,-273.000000
-17.023387,-11.935285,-266.000000
-17.116092,-11.649968,-252.000000
-17.275068,-11.395553,-238.000000
-17.490870,-11.187156,-224.000000
-17.490870,-11.187156,-224.000000
-17.649845,-10.932741,-238.000000
-17.742551,-10.647424,-252.000000
-17.763477,-10.348155,-266.000000
-17.820720,-10.053667,-259.000000
-17.805019,-9.754078,-273.000000
-17.752925,-9.458636,-280.000000
-17.630904,-9.184572,-294.000000
-17.578809,-8.889130,-280.000000
-17.456788,-8.615066,-294.000000
-17.272090,-8.378663,-308.000000
-17.150069,-8.104599,-294.000000
-17.062358,-7.817708,-287.000000
-17.010263,-7.522266,-280.000000
-17.031190,-7.222997,-266.000000
-17.052117,-6.923727,-266.000000
-17.000022,-6.628285,-280.000000
-16.947928,-6.332843,-280.000000
-16.895834,-6.037400,-280.000000
-16.880133,-5.737811,-273.000000
-16.901060,-5.438542,-266.000000
-16.921987,-5.139273,-266.000000
-16.942914,-4.840004,-266.000000
-16.963841,-4.540735,-266.000000
-16.984768,-4.241465,-266.000000
-17.005694,-3.942196,-266.000000
-17.026621,-3.642927,-266.000000
-17.083864,-3.348439,-259.000000
-17.141107,-3.053951,-259.000000
-17.162034,-2.754681,-266.000000
-17.109939,-2.459239,-280.000000
-17.094238,-2.159650,-273.000000
-17.078538,-1.860061,-273.000000
-17.026443,-1.564619,-280.000000
-16.904422,-1.290555,-294.000000
-16.719724,-1.054152,-308.000000
-16.483321,-0.869454,-322.000000
-16.209257,-0.747433,-336.000000
-15.913815,-0.695338,-350.000000
-15.614545,-0.716265,-364.000000
-15.329228,-0.808970,-378.000000
-15.029959,-0.829897,-364.000000
-14.734517,-0.777803,-350.000000
-14.439075,-0.725708,-350.000000
-14.165011,-0.603687,-336.000000
-13.869569,-0.551593,-350.000000
-13.595505,-0.429572,-336.000000
-13.359102,-0.244873,-322.000000
-13.085038,-0.122852,-336.000000
-12.789596,-0.070758,-350.000000
-12.490327,-0.091685,-364.000000
-12.205010,-0.184390,-378.000000
-11.950595,-0.343366,-392.000000
-11.665278,-0.436071,-378.000000
-11.410864,-0.595047,-392.000000
-11.202466,-0.810849,-406.000000
-10.948052,-0.969824,-392.000000
-10.662735,-1.062530,-378.000000
-10.363466,-1.083457,-364.000000
-10.063877,-1.067756,-357.000000
-9.776985,-0.980044,-343.000000
-9.519835,-0.825533,-329.000000
-9.307703,-0.613401,-315.000000
-9.095571,-0.401269,-315.000000
-8.838421,-0.246757,-329.000000
-8.581271,-0.092246,-329.000000
-8.307207,0.029775,-336.000000
-8.011765,0.081870,-350.000000
-7.712496,0.060943,-364.000000
-7.427179,-0.031762,-378.000000
-7.155286,-0.158548,-385.000000
-6.860798,-0.215791,-371.000000
-6.561209,-0.200090,-357.000000
-6.265767,-0.147995,-350.000000
-5.966178,-0.132295,-357.000000
-5.671690,-0.189537,-371.000000
-5.377202,-0.246780,-371.000000
-5.077613,-0.231079,-357.000000
-4.790722,-0.143368,-343.000000
-4.491133,-0.127667,-357.000000
-4.191544,-0.111966,-357.000000
-3.897056,-0.169209,-371.000000
-3.602567,-0.226452,-371.000000
-3.330675,-0.353237,-385.000000
-3.097531,-0.542033,-399.000000
-2.825639,-0.668819,-385.000000
-2.553747,-0.795604,-385.000000
-2.259259,-0.852847,-371.000000
-1.959670,-0.837146,-357.000000
-1.672778,-0.749434,-343.000000
-1.415628,-0.594923,-329.000000
-1.203496,-0.382791,-315.000000
-0.991364,-0.170659,-315.000000
