x,y,psi
0.000000,0.000000,0.000000
0.300000,0.000000,0.000000
0.591089,-0.072577,-14.000000
0.855973,-0.213418,-28.000000
1.078916,-0.414157,-42.000000
1.343801,-0.554999,-28.000000
1.634889,-0.627575,-14.000000
1.934889,-0.627575,0.000000
2.232653,-0.664136,-7.000000
2.532653,-0.664136,0.000000
2.832653,-0.664136,0.000000
3.123742,-0.591559,14.000000
3.421506,-0.554999,7.000000
3.719270,-0.591559,-7.000000
4.017034,-0.554999,7.000000
4.308122,-0.482422,14.000000
4.605886,-0.445861,7.000000
4.903650,-0.482422,-7.000000
5.183724,-0.589933,-21.000000
5.474813,-0.662509,-14.000000
5.774813,-0.662509,0.000000
6.065902,-0.589933,14.000000
6.330786,-0.449091,28.000000
6.576531,-0.277018,35.000000
6.841416,-0.136177,28.000000
7.132504,-0.063600,14.000000
7.432504,-0.063600,0.000000
7.723593,-0.136177,-14.000000
7.988477,-0.277018,-28.000000
8.268552,-0.384528,-21.000000
8.566315,-0.421089,-7.000000
8.864079,-0.384528,7.000000
9.161843,-0.347968,7.000000
9.461843,-0.347968,0.000000
9.752932,-0.420544,-14.000000
10.017816,-0.561386,-28.000000
10.240760,-0.762125,-42.000000
10.408517,-1.010836,-56.000000
10.511123,-1.292744,-70.000000
10.542482,-1.591101,-84.000000
10.609967,-1.883412,-77.000000
10.746164,-2.150714,-63.000000
10.813650,-2.443025,-77.000000
10.916256,-2.724932,-70.000000
11.084014,-2.973644,-56.000000
11.306957,-3.174383,-42.000000
11.474715,-3.423094,-56.000000
11.577321,-3.705002,-70.000000
11.608680,-4.003358,-84.000000
11.566928,-4.300439,-98.000000
11.525176,-4.597519,-98.000000
11.447530,-4.887297,-105.000000
11.302087,-5.149683,-119.000000
11.097488,-5.369089,-133.000000
10.952045,-5.631475,-119.000000
10.874399,-5.921253,-105.000000
10.762017,-6.199408,-112.000000
10.762017,-6.199408,-112.000000
10.720265,-6.496488,-98.000000
10.751624,-6.794845,-84.000000
10.854230,-7.076753,-70.000000
10.921715,-7.369064,-77.000000
10.989200,-7.661375,-77.000000
11.020559,-7.959731,-84.000000
11.015323,-8.259686,-91.000000
11.046682,-8.558042,-84.000000
11.149288,-8.839950,-70.000000
11.180646,-9.138306,-84.000000
11.138894,-9.435387,-98.000000
11.133659,-9.735341,-91.000000
11.128423,-10.035295,-91.000000
11.123187,-10.335250,-91.000000
11.117951,-10.635204,-91.000000
11.040306,-10.924982,-105.000000
11.035070,-11.224936,-91.000000
11.102555,-11.517247,-77.000000
11.133914,-11.815604,-84.000000
11.165272,-12.113960,-84.000000
11.267878,-12.395868,-70.000000
11.299237,-12.694225,-84.000000
11.257485,-12.991305,-98.000000
11.252249,-13.291259,-91.000000
11.283608,-13.589616,-84.000000
11.278372,-13.889570,-91.000000
11.236620,-14.186651,-98.000000
11.267979,-14.485007,-84.000000
11.335464,-14.777318,-77.000000
11.438070,-15.059226,-70.000000
11.605828,-15.307937,-56.000000
11.742025,-15.575239,-63.000000
11.809510,-15.867550,-77.000000
11.804275,-16.167505,-91.000000
11.726629,-16.457282,-105.000000
11.648983,-16.747060,-105.000000
11.607231,-17.044141,-98.000000
11.494849,-17.322296,-112.000000
11.318514,-17.565001,-126.000000
11.113914,-17.784407,-133.000000
10.968471,-18.046793,-119.000000
10.890826,-18.336571,-105.000000
10.885590,-18.636525,-91.000000
10.953075,-18.928836,-77.000000
10.984434,-19.227192,-84.000000
11.015792,-19.525549,-84.000000
10.974040,-19.822629,-98.000000
10.861658,-20.100785,-112.000000
